区市町名,町丁目名,地盤分類,建物倒壊危険度ランク,火災危険度ランク,総合危険度ランク,緯度,経度,最寄駅,路線
千代田区,九段南１丁目,谷底低地3,1,1,1,35.693974,139.753265,九段下<br>九段下<br>九段下<br>神保町<br>神保町<br>神保町<br>竹橋,東京メトロ半蔵門線<br>東京メトロ東西線<br>都営新宿線<br>都営新宿線<br>東京メトロ半蔵門線<br>都営三田線<br>東京メトロ東西線
千代田区,九段南２丁目,台地2,1,1,1,35.693142,139.745697,九段下<br>九段下<br>九段下,都営新宿線<br>東京メトロ半蔵門線<br>東京メトロ東西線
千代田区,九段南３丁目,台地2,2,1,1,35.692432,139.742294,市ケ谷<br>市ヶ谷<br>市ヶ谷<br>市ヶ谷<br>市ケ谷<br>半蔵門,東京メトロ南北線<br>東京メトロ有楽町線<br>JR総武線<br>都営新宿線<br>JR中央線<br>東京メトロ半蔵門線
千代田区,九段南４丁目,台地2,1,1,1,35.69125,139.738678,市ケ谷<br>市ヶ谷<br>市ヶ谷<br>市ヶ谷<br>市ケ谷<br>半蔵門,東京メトロ南北線<br>東京メトロ有楽町線<br>都営新宿線<br>JR総武線<br>JR中央線<br>東京メトロ半蔵門線
千代田区,皇居外苑,谷底低地2,1,1,1,35.679943,139.758469,二重橋前<br>日比谷<br>東京<br>日比谷<br>日比谷,東京メトロ千代田線<br>都営三田線<br>東京メトロ丸ノ内線<br>東京メトロ日比谷線<br>東京メトロ千代田線
千代田区,麹町１丁目,台地2,1,1,1,35.684448,139.74292,半蔵門<br>麹町<br>永田町<br>永田町<br>永田町,東京メトロ半蔵門線<br>東京メトロ有楽町線<br>東京メトロ南北線<br>東京メトロ有楽町線<br>東京メトロ半蔵門線
千代田区,麹町２丁目,台地2,1,1,1,35.684486,139.740509,半蔵門<br>麹町<br>永田町<br>永田町<br>永田町,東京メトロ半蔵門線<br>東京メトロ有楽町線<br>東京メトロ南北線<br>東京メトロ有楽町線<br>東京メトロ半蔵門線
千代田区,麹町３丁目,台地2,1,1,1,35.684513,139.738434,麹町<br>半蔵門<br>永田町<br>永田町<br>永田町,東京メトロ有楽町線<br>東京メトロ半蔵門線<br>東京メトロ南北線<br>東京メトロ有楽町線<br>東京メトロ半蔵門線
千代田区,麹町４丁目,台地2,1,1,1,35.68364,139.736694,麹町<br>半蔵門<br>四ツ谷<br>四ツ谷<br>四ツ谷,東京メトロ有楽町線<br>東京メトロ半蔵門線<br>JR総武線<br>JR中央線<br>東京メトロ丸ノ内線
千代田区,麹町５丁目,台地2,1,1,1,35.683678,139.734192,麹町<br>四ツ谷<br>四ツ谷<br>四ツ谷<br>四ツ谷<br>半蔵門,東京メトロ有楽町線<br>東京メトロ丸ノ内線<br>JR総武線<br>JR中央線<br>東京メトロ南北線<br>東京メトロ半蔵門線
千代田区,麹町６丁目,台地2,1,1,1,35.68491,139.731934,四ツ谷<br>四ツ谷<br>四ツ谷<br>四ツ谷<br>麹町<br>市ケ谷,JR中央線<br>JR総武線<br>東京メトロ丸ノ内線<br>東京メトロ南北線<br>東京メトロ有楽町線<br>JR中央線
千代田区,五番町,台地2,1,1,1,35.689686,139.733994,市ケ谷<br>市ケ谷<br>市ヶ谷<br>市ヶ谷<br>市ヶ谷<br>四ツ谷<br>四ツ谷<br>四ツ谷<br>四ツ谷,JR中央線<br>東京メトロ南北線<br>東京メトロ有楽町線<br>JR総武線<br>都営新宿線<br>JR総武線<br>JR中央線<br>東京メトロ南北線<br>東京メトロ丸ノ内線
千代田区,神田猿楽町１丁目,台地1,1,1,1,35.698444,139.760361,神保町<br>神保町<br>神保町<br>御茶ノ水<br>御茶ノ水<br>御茶ノ水<br>新御茶ノ水,都営新宿線<br>東京メトロ半蔵門線<br>都営三田線<br>東京メトロ丸ノ内線<br>JR中央線<br>JR総武線<br>東京メトロ千代田線
千代田区,神田猿楽町２丁目,台地1,1,1,1,35.699696,139.759232,御茶ノ水<br>神保町<br>神保町<br>神保町<br>水道橋<br>水道橋<br>御茶ノ水<br>御茶ノ水<br>水道橋,東京メトロ丸ノ内線<br>東京メトロ半蔵門線<br>都営新宿線<br>都営三田線<br>JR中央線<br>JR総武線<br>JR総武線<br>JR中央線<br>都営三田線
千代田区,三番町,台地2,1,1,1,35.690556,139.743591,半蔵門<br>市ケ谷<br>市ヶ谷<br>市ヶ谷<br>市ヶ谷<br>市ケ谷,東京メトロ半蔵門線<br>東京メトロ南北線<br>東京メトロ有楽町線<br>都営新宿線<br>JR総武線<br>JR中央線
千代田区,外神田１丁目,沖積低地2,2,1,1,35.698406,139.770889,秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>新御茶ノ水<br>小川町,JR総武線<br>JR京浜東北線<br>JR山手線<br>つくばエクスプレス線<br>東京メトロ日比谷線<br>東京メトロ千代田線<br>都営新宿線
千代田区,外神田２丁目,沖積低地2,3,1,2,35.700676,139.768555,御茶ノ水<br>御茶ノ水<br>新御茶ノ水<br>末広町<br>御茶ノ水,JR中央線<br>JR総武線<br>東京メトロ千代田線<br>東京メトロ銀座線<br>東京メトロ丸ノ内線
千代田区,外神田３丁目,沖積低地2,3,2,2,35.701275,139.770493,末広町<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>御茶ノ水<br>御茶ノ水,東京メトロ銀座線<br>JR京浜東北線<br>JR総武線<br>JR山手線<br>つくばエクスプレス線<br>JR中央線<br>JR総武線
千代田区,外神田４丁目,沖積低地2,2,1,1,35.701431,139.772369,末広町<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>秋葉原<br>仲御徒町,東京メトロ銀座線<br>JR山手線<br>JR総武線<br>JR京浜東北線<br>つくばエクスプレス線<br>東京メトロ日比谷線<br>東京メトロ日比谷線
千代田区,外神田５丁目,沖積低地2,3,2,3,35.704021,139.772369,末広町<br>上野広小路<br>御徒町<br>御徒町,東京メトロ銀座線<br>東京メトロ銀座線<br>JR京浜東北線<br>JR山手線
千代田区,外神田６丁目,沖積低地2,3,1,2,35.704067,139.770966,末広町<br>上野広小路<br>湯島,東京メトロ銀座線<br>東京メトロ銀座線<br>東京メトロ千代田線
千代田区,千代田,台地2,1,1,1,35.684052,139.752151,桜田門,東京メトロ有楽町線
千代田区,永田町１丁目,台地2,1,1,1,35.675896,139.746307,国会議事堂前<br>国会議事堂前<br>霞ケ関<br>霞ケ関<br>霞ケ関<br>桜田門,東京メトロ丸ノ内線<br>東京メトロ千代田線<br>東京メトロ千代田線<br>東京メトロ日比谷線<br>東京メトロ丸ノ内線<br>東京メトロ有楽町線
千代田区,永田町２丁目,台地2,1,1,1,35.675049,139.741226,溜池山王<br>溜池山王<br>赤坂<br>国会議事堂前<br>国会議事堂前,東京メトロ銀座線<br>東京メトロ南北線<br>東京メトロ千代田線<br>東京メトロ丸ノ内線<br>東京メトロ千代田線
千代田区,西神田１丁目,谷底低地3,1,1,1,35.699409,139.757156,神保町<br>神保町<br>水道橋<br>水道橋<br>神保町<br>水道橋<br>御茶ノ水,都営新宿線<br>東京メトロ半蔵門線<br>JR総武線<br>JR中央線<br>都営三田線<br>都営三田線<br>東京メトロ丸ノ内線
千代田区,西神田２丁目,谷底低地3,2,1,2,35.698803,139.755264,水道橋<br>水道橋<br>神保町<br>神保町<br>神保町<br>九段下<br>九段下<br>九段下<br>水道橋,JR総武線<br>JR中央線<br>東京メトロ半蔵門線<br>都営新宿線<br>都営三田線<br>東京メトロ東西線<br>都営新宿線<br>東京メトロ半蔵門線<br>都営三田線
千代田区,西神田３丁目,谷底低地3,1,1,1,35.698021,139.753326,九段下<br>九段下<br>九段下<br>神保町<br>神保町<br>水道橋<br>水道橋<br>神保町<br>水道橋,東京メトロ東西線<br>東京メトロ半蔵門線<br>都営新宿線<br>都営新宿線<br>東京メトロ半蔵門線<br>JR総武線<br>JR中央線<br>都営三田線<br>都営三田線
